StartTime_[LST],EndTime_[LST],ethylene_[ppbV],acetylene_[ppbV],ethane_[ppbV],propylene_[ppbV],propane_[ppbV],isobutane_[ppbV],cis-2-butene_[ppbV],n-butane_[ppbV],1-butene_[ppbV],trans-2-butene_[ppbV],isopentane_[ppbV],1-pentene_[ppbV],isoprene_[ppbV],n-pentane_[ppbV],cis-2-pentene_[ppbV],cyclopentane_[ppbV],"2,2-dimethyl-butane_[ppbV]","2,3-dimethyl-butane_[ppbV]",2-methyl-pentane_[ppbV],3-methyl-pentane_[ppbV],1-hexene_[ppbV],methyl-cyclopentane_[ppbV],n-hexane_[ppbV],benzene_[ppbV],cyclohexane_[ppbV],"2,4-dimethyl-pentane_[ppbV]","2,3-dimethyl-pentane_[ppbV]",2-methyl-hexane_[ppbV],3-methyl-hexane_[ppbV],n-heptane_[ppbV],methyl-cyclohexane_[ppbV],toluene_[ppbV],"2,2,4-trimethyl-pentane_[ppbV]","2,3,4-trimethyl-pentane_[ppbV]",2-methyl-heptane_[ppbV],3-methyl-heptane_[ppbV],n-octane_[ppbV],ethyl-benzene_[ppbV],"m,p-xylene_[ppbV]",styrene_[ppbV],o-xylene_[ppbV],n-nonane_[ppbV],isopropyl-benzene_[ppbV],"1,3,5-trimethyl-benzene_[ppbV]",n-propyl-benzene_[ppbV],"1,2,4-trimethyl-benzene_[ppbV]",m-ethyl-toluene_[ppbV],p-ethyl-toluene_[ppbV],o-ethyl-toluene_[ppbV],"1,2,3-trimethyl-benzene_[ppbV]",n-decane_[ppbV],m-diethyl-benzene_[ppbV]
07/30/2017 8:39:00,07/30/2017 9:09:00,0.169,0.136,4.588,,3.465,0.677,,1.772,,0.604,0.613,,,0.714968833,,,0.095,,0.069,0.095,0.251,0.05,,,,0.062,,0.093,0.074,0.079,,,,,,,,,,,,,,,,,,0.054,,,,
07/30/2017 9:39:00,07/30/2017 10:09:00,0.28,0.154,5.341,,4.435,0.862,,2.259,,0.766,0.775,,,0.883333,,0.05685575,0.116,,0.086,0.105,0.247,0.074,,,,0.059,,0.078,0.071,0.092,,,,,,,,,,,,,,,,,,,,,,
07/30/2017 10:39:00,07/30/2017 11:09:00,0.162,0.128,6.954,,4.754,0.822,,2.223,,0.742,0.7,,,0.766098177,,,0.097,,0.071,0.087,0.227,0.067,,,,,,0.059,0.061,0.118,,,,,,,,,,,,,,,,,,,,,,
07/30/2017 11:38:00,07/30/2017 12:08:00,0.176,0.147,7.489,,4.595,0.851,,2.142,,0.723,0.712,,,0.781072833,,,0.095,,0.074,0.082,0.233,0.069,,,,,,0.053,0.057,0.096,,,,,,,,,,,,,,,,,,,,,,
07/30/2017 12:38:00,07/30/2017 13:08:00,0.126,0.145,6.318,,4.423,0.842,,2.171,,0.726,0.705,,,0.842329687,,,0.102,,0.071,0.082,0.243,0.081,,,,,,0.06,0.061,0.062,,,,,,,,,,,,,,,,,,,,,,
07/30/2017 13:38:00,07/30/2017 14:08:00,0.127,0.131,5.584,,3.88,0.737,,1.918,,0.645,0.639,,,0.714496917,,,0.085,,0.058,0.065,0.206,0.062,,,,,,0.054,0.051,,,,,,,,,,,,,,,,,,,,,,,
07/30/2017 14:38:00,07/30/2017 15:08:00,0.086,0.137,4.556,,3.283,0.607,,1.604,,0.54,0.542,,,0.586200469,,,0.065,,0.05,0.06,0.173,0.059,,,,,,0.052,,,,,,,,,,,,,,,,,,,,,,,,
07/30/2017 17:37:00,07/30/2017 18:07:00,0.251,0.162,2.983,,1.875,0.271,,0.768,,0.256,0.372,,,0.298755833,0.1227175,,,,,,0.099,0.053,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,
07/30/2017 18:36:00,07/30/2017 19:06:00,0.4,0.299,3.396,0.066,2.316,0.389,,0.891,,0.303,0.511,,,0.391290594,0.109215969,,0.069,,0.051,0.062,0.135,0.078,,,,,,,,0.187,,,,,,,,,0.058,,,,,,,,,,,,,
07/30/2017 19:36:00,07/30/2017 20:06:00,0.647,0.316,4.232,0.132,3.333,0.591,,1.494,,0.498,0.821,,,0.603064458,0.069399,,0.126,,0.1,0.098,0.197,0.12,,,,0.093,,0.057,0.063,0.322,,,,,,,,,0.116,,,,,,,,,,,,,
